NUTS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU28,19000,19700,20400,20600,21600,22400,23600,24900,25000,23400,24400,25100
EU27,19100,19800,20500,20800,21700,22500,23700,25100,25100,23500,24500,25200
BE,24600,25300,26000,26600,28000,29000,30200,31600,32400,31600,32700,33600
BE1,50000,51400,53000,53400,55300,57300,58400,60100,60600,59800,61200,62000
BE10,50000,51400,53000,53400,55300,57300,58400,60100,60600,59800,61200,62000
BE2,24400,25000,25700,26300,27800,28800,30200,31700,32300,31400,32400,33600
BE21,28900,29200,30200,30700,32600,34200,35400,37000,37800,36200,37600,38900
BE22,20700,21200,21800,22300,23000,23300,24800,26300,27000,25500,26700,27800
BE23,21300,21900,22900,23600,24900,25700,27000,28500,29000,28600,29500,30600
BE24,25300,26600,26600,27500,29200,30200,31800,33400,33900,33900,34500,35500
BE25,23100,23700,24200,25000,26200,27000,28600,30200,30600,29500,30700,31800
BE3,17800,18200,18600,19100,20100,20900,21900,22700,23700,23100,24100,24600
BE31,22600,23500,24500,24900,26900,28200,29500,30400,32800,31900,35800,33200
BE32,16200,16600,16900,17600,18400,19100,19900,20600,21500,20700,21300,22100
BE33,18500,18900,19200,19600,20600,21300,22300,23400,24200,23700,24200,25200
BE34,17200,17200,17900,18200,19000,19800,21000,21400,21600,21300,22000,22600
BE35,16900,17300,17900,18500,19300,20000,21100,21900,22600,22300,23400,24000
BG,1700,2000,2200,2400,2600,3000,3400,4000,4600,4600,4800,5200
BG3,1600,1800,1900,2000,2200,2500,2700,3100,3500,3400,3500,3900
BG31,1500,1700,1800,1900,2000,2300,2400,2700,3000,2900,2900,3200
BG32,1400,1700,1900,1900,2100,2300,2500,2800,3200,3100,3100,3500
BG33,1600,1800,1900,2100,2300,2600,3000,3400,4000,3700,3900,4200
BG34,1800,1900,1900,2200,2400,2800,3000,3300,3800,3800,3900,4300
BG4,1800,2200,2500,2700,3100,3600,4200,5100,5800,5900,6200,6700
BG41,2300,2700,3100,3400,3900,4500,5400,6600,7800,7900,8200,8800
BG42,1300,1500,1600,1800,2000,2300,2600,2900,3200,3200,3300,3600
CZ,6200,7000,8200,8300,9000,10200,11500,12800,14800,13600,14300,14800
CZ0,6200,7000,8200,8300,9000,10200,11500,12800,14800,13600,14300,14800
CZ01,12100,14300,16900,17300,18800,21500,24200,27400,32000,28900,30500,31200
CZ02,5900,6600,7700,7700,8400,9300,10800,11900,13700,12100,12600,13200
CZ03,5800,6500,7500,7600,8400,9500,10700,11400,12500,11700,12400,12900
CZ04,5200,5700,6700,6900,7400,8300,9200,10100,11500,11000,11200,11500
CZ05,5600,6300,7200,7000,7600,8600,9600,10500,12000,11000,11700,12200
CZ06,5500,6400,7300,7400,8000,9000,10200,11400,13300,12300,12900,13400
CZ07,5100,5700,6500,6600,7100,8000,8900,9900,11800,10900,11400,12000
CZ08,4900,5500,6400,6400,7300,8700,9600,10700,12600,11100,12000,12900
DK,32500,33500,34400,35000,36500,38300,40200,41700,42800,40500,42600,43200
DK0,31500,32500,33400,34000,35400,36800,38500,40000,41000,39300,41200,41500
DK01,39200,40100,40400,41700,43800,46700,47700,49400,50500,48600,52700,52500
DK02,23600,24600,25500,25900,27000,27900,29100,29800,30000,28600,30000,30200
DK03,29200,30200,31200,31700,32900,33500,35800,37400,38500,36500,37800,38200
DK04,30300,31400,32700,32700,33900,34500,37000,38300,39500,38000,38600,38700
DK05,28300,29400,30800,31200,31600,32600,35000,36500,37600,36300,36600,37700
DE,24900,25500,25900,26000,26600,27000,28100,29500,30100,29000,30500,31900
DE1,28300,29300,29300,29500,29800,30000,31800,33500,33800,31400,33900,35800
DE11,31100,32500,32300,32600,32700,32500,34800,37000,36700,33500,37000,39300
DE12,28500,29400,29700,29700,30100,30600,32200,33600,34300,32500,33900,35200
DE13,24800,25300,25400,25400,25800,26100,27500,28700,29400,27700,29400,31300
DE14,26000,26800,27000,27100,27800,28200,29600,31300,32300,29700,32200,34400
DE2,28100,28700,29300,29400,30100,30500,31700,33300,33500,32900,34600,36600
DE21,35600,36500,37000,36900,37600,38100,39300,41200,40600,39900,41700,43700
DE22,22800,23700,24300,24300,25300,25600,26600,28200,28700,27900,30200,32500
DE23,24200,24200,25100,25300,25800,26500,27500,29500,30500,29400,31500,33600
DE24,22300,23000,23100,23000,23600,23800,25200,26200,26700,27100,28500,30000
DE25,26900,26500,27600,27700,28800,28600,29600,30900,31800,31600,32800,34500
DE26,24500,25300,25800,26100,26500,27300,28300,29700,30000,28900,30700,32500
DE27,24300,24900,25800,25700,26200,26700,28200,29000,29800,29000,30500,32400
DE3,24100,24300,24200,23900,23900,24400,25400,26600,27800,27900,28700,29300
DE30,24100,24300,24200,23900,23900,24400,25400,26600,27800,27900,28700,29300
DE4,16900,17300,17500,17600,18200,18500,19300,20200,21000,20600,21800,22800
DE40,16900,17300,17500,17600,18200,18500,19300,20200,21000,20600,21800,22800
DE5,33600,34700,35600,36200,36400,36900,38600,40000,40600,37200,39900,41100
DE50,33600,34700,35600,36200,36400,36900,38600,40000,40600,37200,39900,41100
DE6,44700,46900,47500,47300,48400,49100,49700,50900,52200,49800,51700,52500
DE60,44700,46900,47500,47300,48400,49100,49700,50900,52200,49800,51700,52500
DE7,31100,32100,32300,33000,33400,33800,34900,36300,36800,34900,36000,37500
DE71,36000,37300,37200,38000,38500,38800,40000,41500,41800,39600,40500,42000
DE72,22700,23300,23600,23800,24600,25200,25900,27400,28200,26300,27400,29000
DE73,23700,24300,24900,25700,25800,26200,27200,28300,28600,27600,29200,30600
DE8,16400,16800,17000,17100,17600,17900,18500,19700,20400,20300,21100,21800
DE80,16400,16800,17000,17100,17600,17900,18500,19700,20400,20300,21100,21800
DE9,22400,22600,22400,22600,23100,23700,24800,25800,26600,25600,27200,28500
DE91,23800,24600,23900,24400,25000,25700,26600,28300,28400,26700,29800,32400
DE92,24400,24500,24700,24900,25100,26500,27800,28300,29400,28500,29900,31000
DE93,18500,18300,18300,18300,18600,18800,19600,20500,21200,20600,21300,22000
DE94,22300,22600,22300,22300,23100,23300,24400,25800,26900,25800,27200,28300
DEA,25300,25800,26200,26300,27000,27300,28200,30000,30800,29700,31100,32300
DEA1,27400,28500,28800,29100,29900,30200,31000,33200,34600,33100,34300,35600
DEA2,27800,28000,29100,28500,29100,29000,30100,31800,31800,31300,32700,33500
DEA3,21500,21900,22000,22400,23200,23600,24600,26100,27400,26100,27500,28800
DEA4,25200,25400,25400,25400,25900,26500,27400,29400,29700,28600,29900,31300
DEA5,22200,22400,22700,23000,23700,24300,25200,26600,27400,26100,27800,29300
DEB,22600,22700,23200,23300,24000,24100,25100,26200,26700,26100,27600,28900
DEB1,21600,21700,22300,22400,23000,23300,24300,25200,25700,25200,26700,27800
DEB2,20200,20500,21200,21700,22300,22400,23000,23900,24500,24100,24900,26100
DEB3,23900,24000,24300,24400,25200,25200,26200,27500,27900,27300,29000,30500
DEC,23300,23800,23900,24100,25400,26800,28100,29600,30100,27400,29200,31200
DEC0,23300,23800,23900,24100,25400,26800,28100,29600,30100,27400,29200,31200
DED,16700,17400,18100,18500,19200,19400,20400,21400,21800,21300,22200,23200
DED2,16800,17700,18600,19200,20000,20100,20800,21800,22000,21500,22300,23200
DED4,15800,16400,17000,17300,18000,18300,19400,20500,20900,20200,21400,22300
DED5,18000,18500,19100,19400,19900,20000,21300,22200,22800,22600,23400,24600
DEE,16000,16400,17200,17400,18000,18300,19300,20500,21000,20300,21600,22300
DEE0,16000,16400,17200,17400,18000,18300,19300,20500,21000,20300,21600,22300
DEF,22700,23200,22800,23000,23500,23500,24300,24900,25700,25000,25600,26800
DEF0,22700,23200,22800,23000,23500,23500,24300,24900,25700,25000,25600,26800
DEG,15800,16300,16700,17100,17700,17900,18700,19800,20200,19600,20800,22000
DEG0,15800,16300,16700,17100,17700,17900,18700,19800,20200,19600,20800,22000
EE,4500,5100,5700,6400,7200,8300,10000,12000,12100,10400,10700,12100
EE0,4500,5100,5700,6400,7200,8300,10000,12000,12100,10400,10700,12100
EE00,4500,5100,5700,6400,7200,8300,10000,12000,12100,10400,10700,12100
IE,27800,30400,33200,35200,36900,39200,41600,43100,40100,35800,34700,35500
IE0,27700,30300,33200,35200,36900,39200,41600,43100,40100,35800,34700,35500
IE01,18300,19900,22200,23900,26100,27100,29900,29900,27800,24800,23100,23700
IE02,31000,34000,37200,39300,40800,43600,45800,47900,44600,39800,39000,39900
EL,12600,13400,14300,15600,16700,17400,18700,19900,20800,20500,19600,18500
EL1,11100,11600,12100,13400,14500,13800,14800,15800,16400,16000,15200,14200
EL11,9400,10200,10400,11500,12200,12700,13300,14500,15100,14900,14600,13100
EL12,11700,12000,12500,13800,15100,14000,15000,16200,16700,16200,15400,14400
EL13,11500,11900,13200,14100,14900,15800,16900,18100,19200,18700,18100,18500
EL14,10700,11400,12100,13600,14800,13500,14500,15000,15500,15000,14200,13000
EL2,12100,12400,13000,14100,15000,14900,15800,16700,17000,16500,15900,14900
EL21,10700,11200,11700,13100,14200,12600,13300,14200,14500,14400,13900,12800
EL22,12300,13200,14000,15600,16400,18300,19400,20700,21200,20300,19000,17400
EL23,9900,10500,11100,12400,13100,13900,14800,15400,15700,15200,14700,13700
EL24,15100,15400,15800,16700,17700,17000,17500,18300,18800,17900,17700,16600
EL25,12500,12400,12900,13900,14900,14400,15700,16600,16700,16500,15800,14900
EL3,14300,15500,16900,18600,19800,22200,24200,25900,27200,27200,26200,24800
EL30,14300,15500,16900,18600,19800,22200,24200,25900,27200,27200,26200,24800
EL4,12900,13600,14600,15900,16700,16800,17900,18800,19700,19400,18300,17100
EL41,10200,11900,11900,13900,14000,13800,15000,16200,17000,16800,15500,14500
EL42,15400,15900,16900,18500,19300,20100,21200,22500,23800,23600,22100,20600
EL43,12500,13100,14300,15300,16200,16000,17100,17700,18300,18100,17100,16000
ES,15600,16700,17700,18600,19700,21000,22400,23500,23900,22800,22700,22700
ES1,12700,13600,14500,15500,16600,18000,19600,20900,21700,20800,21000,20900
ES11,12100,13000,13900,14900,16100,17500,19000,20300,21100,20400,20600,20500
ES12,13100,14100,15000,15900,17000,18500,20200,21600,22300,21100,21200,21300
ES13,14600,15800,16800,17600,18700,20000,21300,22600,23100,22000,22100,22100
ES2,18300,19500,20700,21900,23200,24800,26700,28300,29200,27800,28200,28400
ES21,19100,20400,21600,22800,24200,26100,28100,29800,30900,29700,30100,30500
ES22,19800,20900,22100,23300,24600,26200,27800,29200,29900,28700,28800,29100
ES23,17800,18700,19500,20700,21600,22900,24400,25700,26400,25000,25300,25500
ES24,16300,17400,18800,19900,21100,22500,24200,25900,26500,25100,25300,25300
ES3,21300,22600,23500,24600,25800,27300,29100,30500,30900,30200,29500,29600
ES30,21300,22600,23500,24600,25800,27300,29100,30500,30900,30200,29500,29600
ES4,12600,13500,14400,15300,16300,17500,18700,19900,20200,19400,19400,19500
ES41,14100,15000,16000,17100,18200,19500,20800,22100,22500,21800,22000,22300
ES42,12200,13100,13900,14900,15700,16900,18100,19200,19500,18400,18200,18100
ES43,9900,10500,11200,12000,12800,13900,14800,15800,16300,15900,15900,15700
ES5,17600,18800,19700,20600,21600,22700,24100,25000,25300,23900,23900,23900
ES51,19100,20400,21400,22400,23600,24700,26200,27300,27600,26500,26500,26600
ES52,15100,16200,16900,17700,18500,19500,20800,21500,21700,20200,20100,19900
ES53,19300,20200,20800,21200,22100,23200,24400,25300,25600,24200,23800,23800
ES6,11800,12600,13500,14500,15500,16600,17700,18500,18700,17700,17500,17300
ES61,11500,12400,13200,14300,15200,16300,17400,18200,18400,17400,17200,17100
ES62,13100,14000,14900,15900,16800,18000,19100,20000,20300,19000,19000,18500
ES63,13200,13700,14600,15700,16700,17700,19000,20200,21000,20800,20100,19600
ES64,13000,13400,14000,14900,15900,17100,18400,18900,19500,19100,18300,17800
ES7,14800,15700,16400,17300,18000,18800,19700,20400,20500,19200,19300,19300
ES70,14800,15700,16400,17300,18000,18800,19700,20400,20500,19200,19300,19300
FR,23700,24500,25000,25600,26500,27300,28400,29600,30100,29300,29900,30700
FR1,37100,38000,39200,40100,40900,42300,43600,46200,49200,47500,49700,51200
FR10,37100,38000,39200,40100,40900,42300,43600,46200,49200,47500,49700,51200
FR2,20900,21400,21800,22100,23100,23600,24300,25500,25100,24300,24600,25200
