NUTS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU28,19000,19700,20400,20600,21600,22400,23600,24900,25000,23400,24400,25100
EU27,19100,19800,20500,20700,21700,22500,23700,25000,25000,23500,24500,25200
BE,24000,24500,25600,25600,26200,26900,27800,28900,28900,27600,29400,30200
BE1,48700,49700,52200,51200,51900,53200,53700,54900,54200,52400,55100,55600
BE10,48700,49700,52200,51200,51900,53200,53700,54900,54200,52400,55100,55600
BE2,23700,24100,25300,25300,26100,26700,27800,29000,28900,27500,29200,30100
BE21,28200,28200,29800,29500,30600,31800,32600,33800,33800,31700,33900,34800
BE22,20200,20500,21500,21400,21600,21700,22800,24100,24100,22300,24000,24900
BE23,20800,21200,22500,22700,23300,23900,24800,26100,26000,25100,26500,27400
BE24,24700,25700,26300,26400,27400,28000,29300,30600,30300,29700,31100,31800
BE25,22500,22900,23900,24000,24600,25100,26400,27600,27300,25900,27600,28500
BE3,17300,17600,18300,18400,18900,19400,20100,20800,21200,20200,21700,22000
BE31,22000,22800,24100,23900,25300,26200,27100,27800,29300,27900,32300,29800
BE32,15800,16100,16700,16900,17200,17700,18300,18900,19200,18100,19200,19900
BE33,18000,18200,18900,18800,19300,19700,20500,21300,21600,20700,21800,22600
BE34,16800,16700,17600,17400,17800,18400,19300,19600,19300,18700,19800,20300
BE35,16500,16800,17600,17800,18100,18600,19400,20000,20200,19600,21100,21500
BG,5400,5900,6500,6900,7500,8200,9000,10000,10900,10300,10800,11700
BG3,5100,5300,5700,6000,6300,6900,7200,7600,8300,7600,7900,8600
BG31,4900,5200,5500,5600,5800,6200,6200,6700,7000,6400,6500,7200
BG32,4500,5000,5600,5600,5900,6400,6600,7000,7500,6900,7100,7800
BG33,5200,5300,5800,6200,6600,7100,7900,8500,9400,8400,8800,9400
BG34,5600,5600,5800,6400,6900,7700,7900,8100,9000,8500,8800,9500
BG4,5800,6600,7400,8000,8800,9700,11000,12600,13700,13200,13900,14900
BG41,7100,8100,9300,10100,11000,12200,14100,16500,18100,17600,18500,19600
BG42,4100,4500,4800,5300,5800,6300,6700,7200,7600,7100,7500,8100
CZ,13500,14400,15000,15800,16900,17800,18900,20600,20200,19400,19700,20300
CZ0,13500,14400,15000,15800,16900,17800,18900,20600,20200,19400,19700,20300
CZ01,26400,29300,30900,33200,35200,37300,39800,44200,43600,41300,42200,42900
CZ02,12900,13600,14200,14800,15800,16200,17700,19200,18700,17400,17400,18200
CZ03,12600,13300,13700,14600,15700,16500,17500,18400,17100,16700,17100,17600
CZ04,11300,11800,12300,13200,13900,14400,15100,16300,15700,15700,15500,15700
CZ05,12200,12900,13100,13400,14300,15000,15800,17000,16300,15800,16100,16700
CZ06,12100,13100,13500,14300,14900,15700,16800,18400,18100,17600,17800,18400
CZ07,11000,11700,12000,12600,13300,13800,14600,16000,16100,15600,15700,16500
CZ08,10500,11300,11700,12200,13800,15100,15700,17300,17200,15900,16600,17800
DK,25000,25200,26200,25700,27100,27700,29300,30600,31100,28900,31200,31500
DK0,24200,24500,25500,25000,26300,26700,28100,29300,29800,28100,30200,30200
DK01,30200,30200,30900,30600,32600,33800,34700,36200,36700,34700,38600,38300
DK02,18200,18600,19400,19000,20100,20200,21200,21900,21800,20500,21900,22000
DK03,22400,22800,23800,23200,24500,24300,26100,27500,28000,26100,27700,27800
DK04,23300,23700,24900,24000,25200,25000,27000,28100,28700,27200,28200,28200
DK05,21800,22200,23500,22900,23500,23700,25500,26800,27300,26000,26800,27500
DE,22400,22900,23400,23900,25000,26000,27300,28800,29000,26900,29200,30800
DE1,25400,26300,26600,27100,28000,28900,30900,32700,32500,29200,32400,34600
DE11,27900,29100,29200,30000,30600,31300,33800,36100,35200,31200,35400,38000
DE12,25600,26400,26900,27300,28200,29500,31300,32800,33000,30200,32400,34000
DE13,22200,22700,23000,23300,24200,25100,26700,28000,28300,25700,28100,30200
DE14,23300,24100,24400,24900,26100,27200,28700,30600,31000,27600,30900,33300
DE2,25200,25700,26600,27000,28200,29400,30800,32500,32200,30500,33100,35300
DE21,32000,32700,33500,33900,35200,36700,38100,40200,39000,37000,39900,42200
DE22,20400,21300,22000,22300,23700,24700,25800,27500,27600,25900,28900,31400
DE23,21700,21700,22700,23200,24200,25600,26700,28800,29300,27300,30200,32500
DE24,20000,20600,20900,21200,22100,22900,24500,25600,25600,25100,27300,29000
